Date,Open,High,Low,Close,Adj Close,Volume
2016-02-23,5.103900,5.103900,5.064940,5.103900,4.691228,239470
2016-02-24,5.103900,5.337660,5.103900,5.181820,4.762847,164523
2016-02-25,5.337660,5.376620,5.103900,5.103900,4.691228,3758370
2016-02-26,5.181820,5.181820,5.064940,5.103900,4.691228,129873
2016-02-29,5.142860,5.142860,5.103900,5.103900,4.691228,92657
2016-03-01,5.103900,5.142860,5.103900,5.103900,4.691228,6417
2016-03-02,5.103900,5.103900,4.987010,5.025970,4.619598,835450
2016-03-03,5.142860,5.142860,4.870130,4.909090,4.512169,628833
2016-03-04,4.948050,4.948050,4.831170,4.870130,4.476359,1023330
2016-03-07,4.948050,5.142860,4.948050,5.103900,4.691228,602653
2016-03-08,5.485710,5.485710,5.314290,5.314290,5.034051,158200
2016-03-09,5.314290,5.357140,5.271430,5.314290,5.034051,41067
2016-03-10,5.314290,5.357140,5.271430,5.314290,5.034051,98700
2016-03-11,5.357140,5.357140,5.314290,5.314290,5.034051,83767
2016-03-14,5.314290,5.314290,5.271430,5.314290,5.034051,87733
2016-03-15,5.314290,5.314290,5.185710,5.314290,5.034051,116667
2016-03-16,5.271430,5.400000,5.271430,5.271430,4.993451,220033
2016-03-17,5.271430,5.357140,5.271430,5.271430,4.993451,149800
2016-03-18,5.357140,5.357140,5.228570,5.271430,4.993451,114567
2016-03-21,5.228570,5.271430,5.228570,5.228570,4.952851,48300
2016-03-22,5.228570,5.228570,5.185710,5.228570,4.952851,26133
2016-03-23,5.228570,5.271430,5.185710,5.185710,4.912251,30100
2016-03-24,5.185710,5.228570,5.185710,5.185710,4.912251,18667
2016-03-25,5.185710,5.228570,5.185710,5.228570,4.952851,144433
2016-03-28,5.142860,5.228570,5.142860,5.185710,4.912251,15867
2016-03-29,5.228570,5.271430,5.185710,5.185710,4.912251,5833
2016-03-30,5.185710,5.228570,5.185710,5.228570,4.952851,47367
2016-03-31,5.271430,5.314290,5.271430,5.314290,5.034051,71867
2016-04-01,5.314290,5.314290,5.271430,5.314290,5.034051,99867
2016-04-04,5.314290,5.314290,5.271430,5.314290,5.034051,55767
2016-04-05,5.271430,5.271430,5.271430,5.271430,4.993451,38733
2016-04-07,5.271430,5.271430,4.714290,4.928570,4.668671,411833
2016-04-08,4.928570,5.057140,4.928570,5.057140,4.790461,80267
2016-04-11,5.100000,5.185710,5.100000,5.142860,4.871661,102900
2016-04-12,5.185710,5.228570,5.185710,5.185710,4.912251,39200
2016-04-18,5.185710,5.228570,5.142860,5.142860,4.871661,32900
2016-04-19,5.142860,5.185710,5.142860,5.185710,4.912251,54367
2016-04-20,5.142860,5.185710,5.142860,5.185710,4.912251,29167
2016-04-21,5.228570,5.228570,5.142860,5.142860,4.871661,46667
2016-04-22,5.142860,5.142860,5.057140,5.100000,4.831061,55767
2016-04-25,4.885710,5.142860,4.885710,5.142860,4.871661,84700
2016-04-26,5.100000,5.228570,5.100000,5.185710,4.912251,124367
2016-04-27,5.142860,5.185710,5.142860,5.142860,4.871661,85867
2016-04-28,5.271430,5.271430,5.100000,5.100000,4.831061,193200
2016-04-29,5.142860,5.142860,4.971430,5.014290,4.749871,88200
2016-05-03,5.014290,5.057140,5.014290,5.057140,4.790461,26133
2016-05-04,5.057140,5.100000,5.014290,5.014290,4.749871,42933
2016-05-09,5.014290,5.142860,5.014290,5.142860,4.871661,80267
2016-05-10,5.100000,5.100000,5.100000,5.100000,4.831061,47600
2016-05-11,5.100000,5.100000,5.100000,5.100000,4.831061,32200
2016-05-12,5.100000,5.142860,5.100000,5.142860,4.871661,160067
2016-05-13,5.100000,5.142860,5.100000,5.100000,4.831061,215833
2016-05-16,4.971430,5.014290,4.971430,5.014290,4.749871,74667
2016-05-17,5.100000,5.100000,5.014290,5.014290,4.749871,36867
2016-05-18,5.014290,5.014290,4.971430,5.014290,4.749871,145133
2016-05-19,4.842860,4.928570,4.842860,4.928570,4.668671,69767
2016-05-23,4.928570,4.928570,4.757140,4.885710,4.628071,50633
2016-05-24,4.842860,4.842860,4.800000,4.800000,4.546881,62533
2016-05-25,4.842860,4.842860,4.800000,4.800000,4.546881,98700
2016-05-26,4.800000,4.842860,4.800000,4.842860,4.587481,79333
2016-05-27,4.800000,4.842860,4.757140,4.800000,4.546881,165900
2016-05-30,4.757140,4.757140,4.757140,4.757140,4.506281,25433
2016-05-31,4.757140,4.800000,4.714290,4.714290,4.465691,166133
2016-06-01,4.800000,4.842860,4.800000,4.800000,4.546881,143033
2016-06-02,4.800000,4.800000,4.757140,4.757140,4.506281,133233
2016-06-03,4.800000,4.800000,4.757140,4.800000,4.546881,106167
2016-06-06,4.800000,4.800000,4.757140,4.757140,4.506281,59500
2016-06-07,4.757140,4.757140,4.714290,4.714290,4.465691,411367
2016-06-08,4.714290,4.757140,4.671430,4.714290,4.465691,23333
2016-06-09,4.714290,4.714290,4.671430,4.714290,4.465691,153767
2016-06-10,4.714290,4.757140,4.714290,4.757140,4.506281,63467
2016-06-13,4.757140,4.800000,4.714290,4.800000,4.546881,123200
2016-06-14,4.842860,4.842860,4.714290,4.714290,4.465691,64867
2016-06-15,4.757140,4.757140,4.714290,4.757140,4.506281,52500
2016-06-16,4.757140,4.842860,4.671430,4.757140,4.506281,494667
2016-06-17,4.757140,4.757140,4.714290,4.714290,4.465691,234733
2016-06-20,4.714290,4.757140,4.714290,4.757140,4.506281,79567
2016-06-21,4.714290,4.757140,4.671430,4.714290,4.465691,125767
2016-06-22,4.757140,4.757140,4.671430,4.757140,4.506281,299600
2016-06-23,4.671430,4.671430,4.628570,4.671430,4.425091,73733
2016-06-24,4.671430,4.671430,4.585710,4.671430,4.425091,121333
2016-06-27,4.628570,4.628570,4.585710,4.628570,4.384491,29633
2016-06-28,4.628570,4.714290,4.628570,4.714290,4.465691,37800
2016-06-29,4.714290,4.800000,4.714290,4.800000,4.546881,252933
2016-06-30,4.800000,4.842860,4.800000,4.800000,4.546881,234733
2016-07-04,4.800000,4.800000,4.757140,4.757140,4.506281,195767
2016-07-05,4.757140,4.757140,4.671430,4.714290,4.465691,353500
2016-07-06,4.714290,4.757140,4.585710,4.757140,4.506281,414633
2016-07-07,4.714290,4.714290,4.671430,4.671430,4.425091,46667
2016-07-08,4.671430,4.714290,4.628570,4.628570,4.384491,176400
2016-07-11,4.714290,4.714290,4.628570,4.671430,4.425091,148167
2016-07-12,4.671430,4.671430,4.585710,4.671430,4.425091,149567
2016-07-13,4.671430,4.671430,4.585710,4.628570,4.384491,124133
2016-07-14,4.585710,4.671430,4.585710,4.671430,4.425091,189933
2016-07-15,4.628570,5.014290,4.628570,4.671430,4.425091,3918833
2016-07-20,4.628570,4.714290,4.542860,4.628570,4.384491,458967
2016-07-21,4.628570,4.671430,4.542860,4.585710,4.343891,154933
2016-07-22,4.585710,4.585710,4.457140,4.457140,4.222101,427233
2016-07-25,4.457140,4.500000,4.285710,4.371430,4.140911,697200
2016-07-26,4.414290,4.414290,4.328570,4.414290,4.181510,825300
2016-07-27,4.414290,4.414290,4.242860,4.371430,4.140911,1459267
2016-07-28,4.371430,4.371430,4.221430,4.242860,4.019121,2177467
2016-07-29,4.264290,4.371430,4.264290,4.328570,4.100311,910700
2016-08-01,4.328570,4.328570,4.242860,4.264290,4.039421,402267
2016-08-02,4.264290,4.285710,4.221430,4.221430,3.998821,62300
2016-08-03,4.242860,4.264290,4.157140,4.200000,3.978521,1632633
2016-08-04,4.200000,4.200000,4.135710,4.135710,3.917621,626033
2016-08-05,4.135710,4.178570,4.007140,4.028570,3.816131,1585033
2016-08-08,4.071430,4.071430,3.985710,3.985710,3.775531,1080100
2016-08-09,4.007140,4.007140,3.942860,3.942860,3.734941,959933
2016-08-10,3.964290,4.285710,3.942860,4.135710,3.917621,1604400
2016-08-11,4.178570,4.328570,4.071430,4.135710,3.917621,3250100
2016-08-15,4.135710,4.135710,4.071430,4.092860,3.877031,424667
2016-08-16,4.092860,4.114290,4.071430,4.071430,3.856731,477867
2016-08-17,4.071430,4.114290,4.071430,4.071430,3.856731,451500
2016-08-18,4.071430,4.071430,4.028570,4.050000,3.836431,372867
